Anno,Entità,Data Overshoot,Stato DOS,Biocapacità (Gha/persona),Imponta Eco(Gha/persona),Biocapacità Totale (M Gha),Impronta Eco Totale (M Gha),Quante Terre
2000,Africa,Nessuno,Mancante,1.39,1.30,"997,428,612.45","935,444,077.57",0.7
2000,Asia,15 November,Disponibile,0.62,1.46,"2,149,925,882.68","5,072,644,522.78",0.8
2000,Australia,25 March,Disponibile,17.03,8.37,"323,800,783.64","159,178,840.95",4.6
2000,Brasile,Nessuno,Mancante,10.66,2.92,"1,874,941,977.59","512,944,652.45",1.6
2000,Canada,28 March,Disponibile,17.76,9.26,"545,044,787.95","284,003,186.55",5.1
2000,Centro America,05 December,Disponibile,1.62,2.81,"206,936,522.47","359,358,234.10",1.5
2000,Cina,12 October,Disponibile,0.68,1.70,"874,645,502.05","2,201,670,717.48",0.9
2000,Egitto,Nessuno,Mancante,0.25,1.35,"17,843,729.56","96,565,419.79",0.7
2000,Europa,20 May,Disponibile,3.14,5.45,"2,047,800,566.40","3,552,787,356.63",3.0
2000,Francia,10 June,Disponibile,2.95,6.37,"173,153,226.62","373,840,320.30",3.5
2000,Germania,25 May,Disponibile,1.72,5.85,"140,016,372.11","477,085,620.82",3.2
2000,Giappone,10 May,Disponibile,0.63,5.50,"79,557,543.91","696,885,801.22",3.0
2000,Italia,25 June,Disponibile,1.04,5.92,"59,379,461.89","337,529,884.29",3.2
2000,Lussemburgo,20 March,Disponibile,1.89,14.68,"824,222.41","6,393,959.46",8.0
2000,Mondo,01 November,Disponibile,1.83,2.57,"11,227,518,503.21","15,827,422,934.38",1.4
2000,Qatar,15 April,Disponibile,3.86,9.51,"2,490,455.67","6,142,225.55",5.2
2000,Regno Unito,15 June,Disponibile,1.29,5.82,"75,798,802.96","342,439,583.21",3.2
2000,Sud Africa,15 October,Disponibile,1.43,3.26,"66,872,428.83","152,708,146.98",1.8
2000,Sud America,Nessuno,Mancante,6.26,2.75,"2,957,927,550.06","1,300,963,908.61",1.5
2000,USA,20 March,Disponibile,4.22,10.98,"1,192,946,760.00","3,100,081,584.86",6.0
2005,Africa,28 December,Disponibile,1.25,1.36,"1,022,572,629.11","1,113,021,877.37",0.8
2005,Asia,10 November,Disponibile,0.61,1.69,"2,261,229,460.54","6,201,998,018.79",1.0
2005,Australia,22 March,Disponibile,15.09,8.61,"304,428,313.60","173,590,588.86",5.0
2005,Brasile,15 December,Disponibile,9.78,2.43,"1,826,518,327.56","454,699,006.39",1.4
2005,Canada,24 March,Disponibile,17.03,9.55,"548,741,590.98","307,573,039.06",5.5
2005,Centro America,25 November,Disponibile,1.53,2.84,"210,635,062.92","390,369,694.36",1.6
2005,Cina,25 August,Disponibile,0.69,2.32,"924,908,154.03","3,096,874,334.50",1.3
2005,Egitto,Nessuno,Mancante,0.25,1.46,"20,155,078.82","115,118,379.70",0.8
2005,Europa,15 May,Disponibile,3.2,5.55,"2,095,707,820.92","3,643,188,874.99",3.2
2005,Francia,05 June,Disponibile,2.92,6.04,"176,885,377.19","365,619,849.32",3.5
